precinct,region,district,city,lat,lng,voters,ballots,voted,preterm,atHome,electionDay,Dmitriev,Kanopackaya,Lukashenko,Tikhanovskaya,Cherechen,againstAll,invalidBallots,totalBallots,spoiledBallots,unusedBallots,noReport,violations,TikhanovskayaPercentage,turnout,LukashenkoPercentage,outsideBelarus
01-010-0001,Брестская,Брест - Ленинский,Брест,52.0895973,23.6801463,1656.0,1329.0,1319,252.0,4.0,1063.0,21.0,16,464,701,16.0,96.0,5.0,1660.0,1.0,330.0,False,,0.5314632297194845,0.802536231884058,0.35178165276724793,False
01-010-0002,Брестская,Брест - Ленинский,Брест,52.0912682,23.6527775,2646.0,2249.0,2249,707.0,37.0,1505.0,43.0,25,994,948,32.0,194.0,13.0,2670.0,0.0,421.0,False,1.0,0.42152067585593594,0.8499622071050642,0.44197421076033794,False
01-010-0004,Брестская,Брест - Ленинский,Брест,52.0986745,23.6543397,1805.0,1717.0,1714,537.0,42.0,1135.0,32.0,26,1125,395,24.0,97.0,15.0,1880.0,0.0,163.0,False,,0.23045507584597433,0.9512465373961219,0.6563593932322054,False
01-010-0005,Брестская,Брест - Ленинский,Брест,52.099575,23.649951,2270.0,2122.0,2122,863.0,23.0,1236.0,42.0,21,1506,412,50.0,91.0,,,,,False,3.0,0.1941564561734213,0.9348017621145375,0.7097078228086711,False
01-010-0006,Брестская,Брест - Ленинский,Брест,52.1053664,23.6468271,2746.0,2383.0,2383,507.0,20.0,1856.0,53.0,28,923,1157,48.0,174.0,,,,,False,7.0,0.4855224506924045,0.8678077203204662,0.3873268988669744,False
01-010-0007,Брестская,Брест - Ленинский,Брест,52.1049001,23.650959699999998,2319.0,1829.0,1829,249.0,56.0,1524.0,43.0,19,567,1010,44.0,146.0,,,,,True,8.0,0.5522143247676325,0.7887020267356619,0.31000546746856206,False
01-010-0008,Брестская,Брест - Ленинский,Брест,52.114470000000004,23.6462914,1955.0,1772.0,1772,297.0,56.0,1419.0,34.0,34,803,782,41.0,78.0,,,,,False,,0.44130925507900676,0.9063938618925831,0.45316027088036115,False
01-010-0010,Брестская,Брест - Ленинский,Брест,52.124714700000006,23.6723869,1107.0,974.0,973,336.0,6.0,631.0,22.0,10,441,443,10.0,47.0,,,,,False,,0.4552929085303186,0.8798554652213189,0.45323741007194246,False
01-010-0011,Брестская,Брест - Ленинский,Брест,52.1279828,23.652614399999997,1995.0,1807.0,1807,691.0,13.0,1103.0,26.0,19,984,682,15.0,81.0,,,,,False,,0.3774211400110681,0.9057644110275689,0.5445489762036525,False
01-010-0015,Брестская,Брест - Ленинский,Брест,52.0866124,23.6998457,1012.0,914.0,911,303.0,26.0,581.0,21.0,9,393,410,21.0,52.0,4.0,1080.0,1.0,168.0,True,7.0,0.4500548847420417,0.9031620553359684,0.4313940724478595,False
01-010-0017,Брестская,Брест - Ленинский,Брест,52.0872516,23.6871449,1442.0,1190.0,1190,235.0,113.0,842.0,6.0,5,608,500,7.0,64.0,0.0,1500.0,0.0,310.0,False,,0.42016806722689076,0.8252427184466019,0.5109243697478991,False
01-010-0020,Брестская,Брест - Ленинский,Брест,52.0904978,23.698413600000002,837.0,624.0,624,139.0,16.0,469.0,16.0,11,199,336,7.0,46.0,9.0,,,,False,4.0,0.5384615384615384,0.7455197132616488,0.3189102564102564,False
01-010-0021,Брестская,Брест - Ленинский,Брест,52.0904978,23.698413600000002,1421.0,1116.0,1116,240.0,94.0,782.0,9.0,11,597,450,14.0,34.0,1.0,1370.0,,254.0,False,5.0,0.4032258064516129,0.7853624208304011,0.5349462365591398,False
01-010-0022,Брестская,Брест - Ленинский,Брест,52.09956879999999,23.701746300000003,1564.0,1256.0,1256,330.0,89.0,837.0,17.0,25,622,518,21.0,49.0,4.0,1580.0,1.0,323.0,False,,0.4124203821656051,0.80306905370844,0.49522292993630573,False
01-010-0023,Брестская,Брест - Ленинский,Брест,52.096310200000005,23.6944235,1673.0,1395.0,1394,490.0,50.0,854.0,42.0,23,776,458,16.0,79.0,,,,,False,,0.3285509325681492,0.8338314405260012,0.5566714490674318,False
01-010-0025,Брестская,Брест - Ленинский,Брест,52.113084,23.7288049,2217.0,1898.0,1898,320.0,40.0,1538.0,36.0,24,548,1107,36.0,130.0,17.0,2310.0,0.0,412.0,False,16.0,0.583245521601686,0.8561118628777628,0.28872497365648053,False
01-010-0027,Брестская,Брест - Ленинский,Брест,52.0994651,23.685671799999998,1407.0,1361.0,1360,409.0,59.0,892.0,19.0,9,761,465,10.0,90.0,6.0,1540.0,0.0,179.0,False,1.0,0.34191176470588236,0.9673063255152807,0.5595588235294118,False
01-010-0028,Брестская,Брест - Ленинский,Брест,52.1028295,23.6845453,1953.0,1659.0,1659,232.0,77.0,1350.0,33.0,35,374,764,29.0,424.0,,,,,False,,0.4605183845690175,0.8494623655913979,0.22543701024713683,False
01-010-0030,Брестская,Брест - Ленинский,Брест,52.1170664,23.6884996,1704.0,1339.0,1339,258.0,24.0,1057.0,18.0,15,778,417,13.0,98.0,,,,,False,1.0,0.31142643764002986,0.7857981220657277,0.5810306198655714,False
01-010-0031,Брестская,Брест - Ленинский,Брест,52.123092,23.69529,2017.0,1906.0,1906,676.0,23.0,1207.0,47.0,56,1012,610,65.0,116.0,,,,,False,5.0,0.3200419727177335,0.9449677739216659,0.5309548793284365,False
01-010-0032,Брестская,Брест - Ленинский,Брест,52.112033600000004,23.6861799,1885.0,1870.0,1870,655.0,98.0,1117.0,47.0,33,920,711,37.0,107.0,15.0,1890.0,3.0,2.0,False,1.0,0.3802139037433155,0.9920424403183024,0.4919786096256685,False
01-010-0034,Брестская,Брест - Ленинский,Брест,52.11352279999999,23.7311379,2543.0,2048.0,2048,369.0,11.0,1668.0,46.0,18,535,1223,62.0,164.0,,,,,False,2.0,0.59716796875,0.805348014156508,0.26123046875,False
01-010-0035,Брестская,Брест - Ленинский,Брест,52.11352279999999,23.7311379,2020.0,1939.0,1938,291.0,49.0,1598.0,26.0,24,608,1111,38.0,115.0,16.0,2060.0,1.0,120.0,False,8.0,0.5732714138286894,0.9599009900990099,0.3137254901960784,False
01-010-0036,Брестская,Брест - Ленинский,Брест,52.1045813,23.646886399999996,2065.0,1608.0,1608,300.0,51.0,1257.0,13.0,15,882,682,8.0,8.0,,,,,False,6.0,0.42412935323383083,0.7786924939467312,0.5485074626865671,False
01-010-0037,Брестская,Брест - Ленинский,Брест,52.1038475,23.6446885,1509.0,1280.0,1280,403.0,41.0,836.0,29.0,23,524,543,24.0,137.0,,,,,False,,0.42421875,0.8482438701126573,0.409375,False
01-010-0040,Брестская,Брест - Ленинский,Брест,52.1279828,23.652614399999997,1820.0,1688.0,1688,640.0,19.0,1029.0,23.0,24,1008,557,28.0,48.0,,,,,False,1.0,0.3299763033175355,0.9274725274725275,0.5971563981042654,False
01-010-0042,Брестская,Брест - Ленинский,Брест,52.12246029999999,23.771532399999998,1570.0,1279.0,1279,348.0,21.0,901.0,13.0,24,629,598,6.0,9.0,,1600.0,,321.0,False,2.0,0.46755277560594216,0.8146496815286625,0.491790461297889,False
01-010-0044,Брестская,Брест - Ленинский,Брест,52.090155100000004,23.678472,1370.0,1066.0,1065,319.0,21.0,725.0,21.0,11,472,473,27.0,56.0,5.0,1330.0,1.0,264.0,False,,0.444131455399061,0.7781021897810219,0.4431924882629108,False
